value,value_classification,time_until_update,date
39,Fear,,2019-08-20
30,Fear,,2019-08-19
14,Extreme Fear,,2019-08-18
20,Extreme Fear,,2019-08-17
31,Fear,,2019-08-16
13,Extreme Fear,,2019-08-15
11,Extreme Fear,,2019-08-14
45,Fear,,2019-08-13
48,Neutral,,2019-08-12
45,Fear,,2019-08-11
59,Greed,,2019-08-10
60,Greed,,2019-08-09
61,Greed,,2019-08-08
45,Fear,,2019-08-07
66,Greed,,2019-08-06
64,Greed,,2019-08-05
62,Greed,,2019-08-04
61,Greed,,2019-08-03
61,Greed,,2019-08-02
57,Greed,,2019-08-01
31,Fear,,2019-07-31
22,Extreme Fear,,2019-07-30
19,Extreme Fear,,2019-07-29
16,Extreme Fear,,2019-07-28
47,Neutral,,2019-07-27
24,Extreme Fear,,2019-07-26
42,Fear,,2019-07-25
20,Extreme Fear,,2019-07-24
40,Fear,,2019-07-23
42,Fear,,2019-07-22
42,Fear,,2019-07-21
34,Fear,,2019-07-20
42,Fear,,2019-07-19
40,Fear,,2019-07-18
19,Extreme Fear,,2019-07-17
34,Fear,,2019-07-16
16,Extreme Fear,,2019-07-15
61,Greed,,2019-07-14
65,Greed,,2019-07-13
33,Fear,,2019-07-12
62,Greed,,2019-07-11
83,Extreme Greed,,2019-07-10
84,Extreme Greed,,2019-07-09
74,Greed,,2019-07-08
67,Greed,,2019-07-07
72,Greed,,2019-07-06
67,Greed,,2019-07-05
76,Extreme Greed,,2019-07-04
79,Extreme Greed,,2019-07-03
63,Greed,,2019-07-02
65,Greed,,2019-07-01
78,Extreme Greed,,2019-06-30
74,Greed,,2019-06-29
62,Greed,,2019-06-28
92,Extreme Greed,,2019-06-27
95,Extreme Greed,,2019-06-26
87,Extreme Greed,,2019-06-25
80,Extreme Greed,,2019-06-24
84,Extreme Greed,,2019-06-23
83,Extreme Greed,,2019-06-22
84,Extreme Greed,,2019-06-21
81,Extreme Greed,,2019-06-20
82,Extreme Greed,,2019-06-19
83,Extreme Greed,,2019-06-18
84,Extreme Greed,,2019-06-17
80,Extreme Greed,,2019-06-16
75,Greed,,2019-06-15
67,Greed,,2019-06-14
63,Greed,,2019-06-13
60,Greed,,2019-06-12
61,Greed,,2019-06-11
46,Fear,,2019-06-10
62,Greed,,2019-06-09
62,Greed,,2019-06-08
27,Fear,,2019-06-07
34,Fear,,2019-06-06
27,Fear,,2019-06-05
42,Fear,,2019-06-04
66,Greed,,2019-06-03
63,Greed,,2019-06-02
62,Greed,,2019-06-01
61,Greed,,2019-05-31
73,Greed,,2019-05-30
71,Greed,,2019-05-29
71,Greed,,2019-05-28
70,Greed,,2019-05-27
67,Greed,,2019-05-26
69,Greed,,2019-05-25
64,Greed,,2019-05-24
65,Greed,,2019-05-23
69,Greed,,2019-05-22
68,Greed,,2019-05-21
73,Greed,,2019-05-20
70,Greed,,2019-05-19
67,Greed,,2019-05-18
65,Greed,,2019-05-17
75,Greed,,2019-05-16
77,Extreme Greed,,2019-05-15
78,Extreme Greed,,2019-05-14
78,Extreme Greed,,2019-05-13
75,Greed,,2019-05-12
76,Extreme Greed,,2019-05-11
71,Greed,,2019-05-10
69,Greed,,2019-05-09
63,Greed,,2019-05-08
69,Greed,,2019-05-07
57,Greed,,2019-05-06
67,Greed,,2019-05-05
66,Greed,,2019-05-04
63,Greed,,2019-05-03
50,Neutral,,2019-05-02
51,Neutral,,2019-05-01
42,Fear,,2019-04-30
42,Fear,,2019-04-29
40,Fear,,2019-04-28
42,Fear,,2019-04-27
41,Fear,,2019-04-26
58,Greed,,2019-04-25
65,Greed,,2019-04-24
68,Greed,,2019-04-23
61,Greed,,2019-04-22
62,Greed,,2019-04-21
62,Greed,,2019-04-20
61,Greed,,2019-04-19
64,Greed,,2019-04-18
61,Greed,,2019-04-17
50,Neutral,,2019-04-16
60,Greed,,2019-04-15
51,Neutral,,2019-04-14
62,Greed,,2019-04-13
42,Fear,,2019-04-12
65,Greed,,2019-04-11
62,Greed,,2019-04-10
64,Greed,,2019-04-09
65,Greed,,2019-04-08
69,Greed,,2019-04-07
65,Greed,,2019-04-06
59,Greed,,2019-04-05
61,Greed,,2019-04-04
71,Greed,,2019-04-03
60,Greed,,2019-04-02
62,Greed,,2019-04-01
56,Greed,,2019-03-31
57,Greed,,2019-03-30
50,Neutral,,2019-03-29
49,Neutral,,2019-03-28
44,Fear,,2019-03-27
43,Fear,,2019-03-26
46,Fear,,2019-03-25
44,Fear,,2019-03-24
50,Neutral,,2019-03-23
56,Greed,,2019-03-22
62,Greed,,2019-03-21
55,Greed,,2019-03-20
56,Greed,,2019-03-19
56,Greed,,2019-03-18
58,Greed,,2019-03-17
54,Neutral,,2019-03-16
55,Greed,,2019-03-15
55,Greed,,2019-03-14
54,Neutral,,2019-03-13
56,Greed,,2019-03-12
56,Greed,,2019-03-11
55,Greed,,2019-03-10
55,Greed,,2019-03-09
54,Neutral,,2019-03-08
56,Greed,,2019-03-07
42,Fear,,2019-03-06
35,Fear,,2019-03-05
36,Fear,,2019-03-04
44,Fear,,2019-03-03
41,Fear,,2019-03-02
42,Fear,,2019-03-01
39,Fear,,2019-02-28
39,Fear,,2019-02-27
40,Fear,,2019-02-26
47,Neutral,,2019-02-25
69,Greed,,2019-02-24
63,Greed,,2019-02-23
61,Greed,,2019-02-22
59,Greed,,2019-02-21
59,Greed,,2019-02-20
65,Greed,,2019-02-19
63,Greed,,2019-02-18
38,Fear,,2019-02-17
43,Fear,,2019-02-16
43,Fear,,2019-02-15
48,Neutral,,2019-02-14
48,Neutral,,2019-02-13
38,Fear,,2019-02-12
46,Fear,,2019-02-11
40,Fear,,2019-02-10
42,Fear,,2019-02-09
37,Fear,,2019-02-08
18,Extreme Fear,,2019-02-07
14,Extreme Fear,,2019-02-06
21,Extreme Fear,,2019-02-05
27,Fear,,2019-02-04
19,Extreme Fear,,2019-02-03
22,Extreme Fear,,2019-02-02
23,Extreme Fear,,2019-02-01
17,Extreme Fear,,2019-01-31
22,Extreme Fear,,2019-01-30
21,Extreme Fear,,2019-01-29
35,Fear,,2019-01-28
39,Fear,,2019-01-27
41,Fear,,2019-01-26
35,Fear,,2019-01-25
37,Fear,,2019-01-24
33,Fear,,2019-01-23
27,Fear,,2019-01-22
30,Fear,,2019-01-21
35,Fear,,2019-01-20
31,Fear,,2019-01-19
29,Fear,,2019-01-18
28,Fear,,2019-01-17
24,Extreme Fear,,2019-01-16
27,Fear,,2019-01-15
16,Extreme Fear,,2019-01-14
21,Extreme Fear,,2019-01-13
22,Extreme Fear,,2019-01-12
19,Extreme Fear,,2019-01-11
37,Fear,,2019-01-10
42,Fear,,2019-01-09
39,Fear,,2019-01-08
39,Fear,,2019-01-07
31,Fear,,2019-01-06
36,Fear,,2019-01-05
48,Neutral,,2019-01-04
33,Fear,,2019-01-03
30,Fear,,2019-01-02
24,Extreme Fear,,2019-01-01
26,Fear,,2018-12-31
23,Extreme Fear,,2018-12-30
24,Extreme Fear,,2018-12-29
21,Extreme Fear,,2018-12-28
29,Fear,,2018-12-27
26,Fear,,2018-12-26
33,Fear,,2018-12-25
25,Extreme Fear,,2018-12-24
31,Fear,,2018-12-23
28,Fear,,2018-12-22
35,Fear,,2018-12-21
27,Fear,,2018-12-20
21,Extreme Fear,,2018-12-19
23,Extreme Fear,,2018-12-18
17,Extreme Fear,,2018-12-17
13,Extreme Fear,,2018-12-16
11,Extreme Fear,,2018-12-15
10,Extreme Fear,,2018-12-14
14,Extreme Fear,,2018-12-13
14,Extreme Fear,,2018-12-12
15,Extreme Fear,,2018-12-11
19,Extreme Fear,,2018-12-10
14,Extreme Fear,,2018-12-09
11,Extreme Fear,,2018-12-08
11,Extreme Fear,,2018-12-07
13,Extreme Fear,,2018-12-06
19,Extreme Fear,,2018-12-05
12,Extreme Fear,,2018-12-04
17,Extreme Fear,,2018-12-03
15,Extreme Fear,,2018-12-02
13,Extreme Fear,,2018-12-01
19,Extreme Fear,,2018-11-30
18,Extreme Fear,,2018-11-29
14,Extreme Fear,,2018-11-28
11,Extreme Fear,,2018-11-27
17,Extreme Fear,,2018-11-26
9,Extreme Fear,,2018-11-25
15,Extreme Fear,,2018-11-24
12,Extreme Fear,,2018-11-23
14,Extreme Fear,,2018-11-22
15,Extreme Fear,,2018-11-21
21,Extreme Fear,,2018-11-20
28,Fear,,2018-11-19
26,Fear,,2018-11-18
24,Extreme Fear,,2018-11-17
23,Extreme Fear,,2018-11-16
28,Fear,,2018-11-15
49,Neutral,,2018-11-14
56,Greed,,2018-11-13
52,Neutral,,2018-11-12
54,Neutral,,2018-11-11
52,Neutral,,2018-11-10
47,Neutral,,2018-11-09
51,Neutral,,2018-11-08
48,Neutral,,2018-11-07
42,Fear,,2018-11-06
42,Fear,,2018-11-05
41,Fear,,2018-11-04
36,Fear,,2018-11-03
36,Fear,,2018-11-02
29,Fear,,2018-11-01
32,Fear,,2018-10-31
31,Fear,,2018-10-30
34,Fear,,2018-10-29
35,Fear,,2018-10-28
33,Fear,,2018-10-27
29,Fear,,2018-10-26
25,Extreme Fear,,2018-10-25
23,Extreme Fear,,2018-10-24
24,Extreme Fear,,2018-10-23
27,Fear,,2018-10-22
21,Extreme Fear,,2018-10-21
21,Extreme Fear,,2018-10-20
24,Extreme Fear,,2018-10-19
26,Fear,,2018-10-18
23,Extreme Fear,,2018-10-17
24,Extreme Fear,,2018-10-16
20,Extreme Fear,,2018-10-15
18,Extreme Fear,,2018-10-14
15,Extreme Fear,,2018-10-13
13,Extreme Fear,,2018-10-12
19,Extreme Fear,,2018-10-11
28,Fear,,2018-10-10
31,Fear,,2018-10-09
26,Fear,,2018-10-08
29,Fear,,2018-10-07
34,Fear,,2018-10-06
37,Fear,,2018-10-05
29,Fear,,2018-10-04
36,Fear,,2018-10-03
33,Fear,,2018-10-02
35,Fear,,2018-10-01
34,Fear,,2018-09-30
37,Fear,,2018-09-29
42,Fear,,2018-09-28
42,Fear,,2018-09-27
37,Fear,,2018-09-26
37,Fear,,2018-09-25
43,Fear,,2018-09-24
38,Fear,,2018-09-23
35,Fear,,2018-09-22
31,Fear,,2018-09-21
24,Extreme Fear,,2018-09-20
24,Extreme Fear,,2018-09-19
21,Extreme Fear,,2018-09-18
25,Extreme Fear,,2018-09-17
28,Fear,,2018-09-16
24,Extreme Fear,,2018-09-15
23,Extreme Fear,,2018-09-14
20,Extreme Fear,,2018-09-13
14,Extreme Fear,,2018-09-12
18,Extreme Fear,,2018-09-11
15,Extreme Fear,,2018-09-10
13,Extreme Fear,,2018-09-09
18,Extreme Fear,,2018-09-08
17,Extreme Fear,,2018-09-07
14,Extreme Fear,,2018-09-06
17,Extreme Fear,,2018-09-05
26,Fear,,2018-09-04
19,Extreme Fear,,2018-09-03
18,Extreme Fear,,2018-09-02
21,Extreme Fear,,2018-09-01
17,Extreme Fear,,2018-08-31
22,Extreme Fear,,2018-08-30
19,Extreme Fear,,2018-08-29
19,Extreme Fear,,2018-08-28
18,Extreme Fear,,2018-08-27
19,Extreme Fear,,2018-08-26
22,Extreme Fear,,2018-08-25
19,Extreme Fear,,2018-08-24
18,Extreme Fear,,2018-08-23
21,Extreme Fear,,2018-08-22
19,Extreme Fear,,2018-08-21
26,Fear,,2018-08-20
27,Fear,,2018-08-19
24,Extreme Fear,,2018-08-18
19,Extreme Fear,,2018-08-17
21,Extreme Fear,,2018-08-16
18,Extreme Fear,,2018-08-15
16,Extreme Fear,,2018-08-14
21,Extreme Fear,,2018-08-13
18,Extreme Fear,,2018-08-12
18,Extreme Fear,,2018-08-11
21,Extreme Fear,,2018-08-10
19,Extreme Fear,,2018-08-09
23,Extreme Fear,,2018-08-08
25,Extreme Fear,,2018-08-07
25,Extreme Fear,,2018-08-06
23,Extreme Fear,,2018-08-05
31,Fear,,2018-08-04
36,Fear,,2018-08-03
39,Fear,,2018-08-02
39,Fear,,2018-08-01
48,Neutral,,2018-07-31
53,Neutral,,2018-07-30
54,Neutral,,2018-07-29
54,Neutral,,2018-07-28
47,Neutral,,2018-07-27
53,Neutral,,2018-07-26
54,Neutral,,2018-07-25
49,Neutral,,2018-07-24
44,Fear,,2018-07-23
46,Fear,,2018-07-22
43,Fear,,2018-07-21
47,Neutral,,2018-07-20
44,Fear,,2018-07-19
42,Fear,,2018-07-18
39,Fear,,2018-07-17
36,Fear,,2018-07-16
32,Fear,,2018-07-15
29,Fear,,2018-07-14
29,Fear,,2018-07-13
33,Fear,,2018-07-12
29,Fear,,2018-07-11
37,Fear,,2018-07-10
39,Fear,,2018-07-09
38,Fear,,2018-07-08
34,Fear,,2018-07-07
34,Fear,,2018-07-06
37,Fear,,2018-07-05
33,Fear,,2018-07-04
31,Fear,,2018-07-03
27,Fear,,2018-07-02
27,Fear,,2018-07-01
22,Extreme Fear,,2018-06-30
16,Extreme Fear,,2018-06-29
20,Extreme Fear,,2018-06-28
18,Extreme Fear,,2018-06-27
21,Extreme Fear,,2018-06-26
16,Extreme Fear,,2018-06-25
15,Extreme Fear,,2018-06-24
17,Extreme Fear,,2018-06-23
28,Fear,,2018-06-22
37,Fear,,2018-06-21
34,Fear,,2018-06-20
32,Fear,,2018-06-19
27,Fear,,2018-06-18
23,Extreme Fear,,2018-06-17
22,Extreme Fear,,2018-06-16
26,Fear,,2018-06-15
17,Extreme Fear,,2018-06-14
19,Extreme Fear,,2018-06-13
19,Extreme Fear,,2018-06-12
15,Extreme Fear,,2018-06-11
24,Extreme Fear,,2018-06-10
39,Fear,,2018-06-09
40,Fear,,2018-06-08
38,Fear,,2018-06-07
42,Fear,,2018-06-06
26,Fear,,2018-06-05
41,Fear,,2018-06-04
40,Fear,,2018-06-03
27,Fear,,2018-06-02
24,Extreme Fear,,2018-06-01
25,Extreme Fear,,2018-05-31
38,Fear,,2018-05-30
16,Extreme Fear,,2018-05-29
22,Extreme Fear,,2018-05-28
19,Extreme Fear,,2018-05-27
23,Extreme Fear,,2018-05-26
25,Extreme Fear,,2018-05-25
27,Fear,,2018-05-24
26,Fear,,2018-05-23
30,Fear,,2018-05-22
41,Fear,,2018-05-21
32,Fear,,2018-05-20
31,Fear,,2018-05-19
37,Fear,,2018-05-18
31,Fear,,2018-05-17
32,Fear,,2018-05-16
40,Fear,,2018-05-15
40,Fear,,2018-05-14
40,Fear,,2018-05-13
44,Fear,,2018-05-12
41,Fear,,2018-05-11
63,Greed,,2018-05-10
53,Neutral,,2018-05-09
62,Greed,,2018-05-08
56,Greed,,2018-05-07
67,Greed,,2018-05-06
63,Greed,,2018-05-05
56,Greed,,2018-05-04
55,Greed,,2018-05-03
52,Neutral,,2018-05-02
56,Greed,,2018-05-01
59,Greed,,2018-04-30
61,Greed,,2018-04-29
54,Neutral,,2018-04-28
55,Greed,,2018-04-27
47,Neutral,,2018-04-26
64,Greed,,2018-04-25
29,Fear,,2018-04-24
28,Fear,,2018-04-23
31,Fear,,2018-04-22
32,Fear,,2018-04-21
26,Fear,,2018-04-20
25,Extreme Fear,,2018-04-19
24,Extreme Fear,,2018-04-18
26,Fear,,2018-04-17
23,Extreme Fear,,2018-04-13
18,Extreme Fear,,2018-04-12
20,Extreme Fear,,2018-04-11
18,Extreme Fear,,2018-04-10
21,Extreme Fear,,2018-04-09
17,Extreme Fear,,2018-04-08
20,Extreme Fear,,2018-04-07
19,Extreme Fear,,2018-04-06
17,Extreme Fear,,2018-04-05
22,Extreme Fear,,2018-04-04
22,Extreme Fear,,2018-04-03
11,Extreme Fear,,2018-04-02
16,Extreme Fear,,2018-04-01
16,Extreme Fear,,2018-03-31
12,Extreme Fear,,2018-03-30
18,Extreme Fear,,2018-03-29
24,Extreme Fear,,2018-03-28
24,Extreme Fear,,2018-03-27
31,Fear,,2018-03-26
30,Fear,,2018-03-25
32,Fear,,2018-03-24
28,Fear,,2018-03-23
36,Fear,,2018-03-22
36,Fear,,2018-03-21
37,Fear,,2018-03-20
29,Fear,,2018-03-19
29,Fear,,2018-03-18
31,Fear,,2018-03-17
33,Fear,,2018-03-16
32,Fear,,2018-03-15
40,Fear,,2018-03-14
41,Fear,,2018-03-13
41,Fear,,2018-03-12
40,Fear,,2018-03-11
39,Fear,,2018-03-10
37,Fear,,2018-03-09
39,Fear,,2018-03-08
37,Fear,,2018-03-07
59,Greed,,2018-03-06
55,Greed,,2018-03-05
44,Fear,,2018-03-04
56,Greed,,2018-03-03
47,Neutral,,2018-03-02
38,Fear,,2018-03-01
41,Fear,,2018-02-28
44,Fear,,2018-02-27
37,Fear,,2018-02-26
33,Fear,,2018-02-25
31,Fear,,2018-02-24
39,Fear,,2018-02-23
44,Fear,,2018-02-22
54,Neutral,,2018-02-21
74,Greed,,2018-02-20
67,Greed,,2018-02-19
63,Greed,,2018-02-18
74,Greed,,2018-02-17
67,Greed,,2018-02-16
71,Greed,,2018-02-15
55,Greed,,2018-02-14
35,Fear,,2018-02-13
42,Fear,,2018-02-12
31,Fear,,2018-02-11
54,Neutral,,2018-02-10
44,Fear,,2018-02-09
30,Fear,,2018-02-08
36,Fear,,2018-02-07
8,Extreme Fear,,2018-02-06
11,Extreme Fear,,2018-02-05
24,Extreme Fear,,2018-02-04
40,Fear,,2018-02-03
15,Extreme Fear,,2018-02-02
30,Fear,,2018-02-01
